time,V_ai0,V_ai1,V_ai2
0,-2.79605054439883,-8.08571077100725,-5.38108189849784
0.0025,-2.79095608654562,-8.08571077100725,-5.42182685467583
0.005,-2.78586162869241,-8.07042369258989,-5.42182685467583
0.0075,-2.79605054439883,-8.06023230697831,-5.43710621324258
0.01,-2.77567271298599,-8.1519547774825,-5.39126813754234
0.0125,-2.79605054439883,-8.06023230697831,-5.40654749610908
0.015,-2.63302789309609,-8.03475384294937,-5.44219933276483
0.0175,-2.64831126665572,-8.13157200625935,-5.45238557180933
0.02,-2.66359464021536,-8.06023230697831,-5.43710621324258
0.0225,-2.66868909806857,-8.0653279997841,-5.41673373515358
0.025,-2.66868909806857,-8.05513661417252,-5.39126813754234
0.0275,-2.72472813445388,-8.07042369258989,-5.41164061563133
0.03,-2.72472813445388,-8.07551938539567,-5.41164061563133
0.0325,-2.77057825513278,-8.09590215661883,-5.34033694231984
0.035,-2.7807671708392,-8.04494522856094,-5.35052318136434
0.0375,-2.81133391795846,-8.07042369258989,-5.36580253993109
0.04,-2.86737295434378,-8.12647631345356,-5.36070942040884
0.0425,-2.8775618700502,-8.07042369258989,-5.2741263885306
0.045,-2.86737295434378,-8.08571077100725,-5.34543006184209
0.0475,-2.85718403863736,-8.06023230697831,-5.35561630088659
0.05,-2.93869536428873,-8.07042369258989,-5.33524382279759
0.0525,-2.91831753287589,-8.07551938539567,-5.34543006184209
0.055,-2.90812861716946,-8.07042369258989,-5.32505758375309
0.0575,-2.84190066507773,-8.05004092136673,-5.36580253993109
0.06,-2.79605054439883,-8.05513661417252,-5.37089565945334
0.0625,-2.81642837581167,-8.05004092136673,-5.35561630088659
0.065,-2.8266172915181,-8.07042369258989,-5.34033694231984
0.0675,-2.80623946010525,-8.07551938539567,-5.34033694231984
0.07,-2.80114500225204,-8.07042369258989,-5.34033694231984
0.0725,-2.77057825513278,-8.08571077100725,-5.33015070327534
0.075,-2.77057825513278,-8.05004092136673,-5.31996446423084
0.0775,-2.77057825513278,-8.03475384294937,-5.36070942040884
0.08,-0.0959878821972175,-8.06023230697831,-5.33524382279759
0.0825,-2.78586162869241,-8.0653279997841,-5.33015070327534
0.085,-2.79095608654562,-8.05004092136673,-5.40145437658683
0.0875,-2.79605054439883,-8.08061507820146,-5.33524382279759
0.09,-2.81133391795846,-8.03475384294937,-5.34543006184209
0.0925,-2.80114500225204,-8.0653279997841,-5.36580253993109
0.095,-2.92850644858231,-8.07042369258989,-5.28940574709734
0.0975,-2.89793970146304,-8.08061507820146,-5.31487134470859
0.1,-2.8775618700502,-8.10099784942462,-5.30468510566409
0.1025,-2.90812861716946,-8.09080646381304,-5.31487134470859
0.105,-2.92850644858231,-8.09080646381304,-5.29959198614184
0.1075,-2.91831753287589,-8.1060935422304,-5.33015070327534
0.11,-2.89284524360983,-8.09080646381304,-5.34033694231984
0.1125,-2.90812861716946,-8.07042369258989,-5.29959198614184
0.115,-2.91322307502268,-8.08061507820146,-5.30977822518634
0.1175,-2.89284524360983,-8.12138062064777,-5.37089565945334
0.12,-2.92850644858231,-8.1060935422304,-5.33524382279759
0.1225,-2.96416765355478,-8.08571077100725,-5.34033694231984
0.125,-2.9743565692612,-8.0653279997841,-5.33524382279759
0.1275,-2.99473440067405,-8.07551938539567,-5.32505758375309
0.13,-3.01001777423368,-8.0653279997841,-5.31487134470859
0.1325,-3.09152909988505,-8.08061507820146,-5.35052318136434
0.135,-3.0711512684722,-8.1060935422304,-5.32505758375309
0.1375,-3.08643464203184,-8.07551938539567,-5.31996446423084
0.14,-3.1170013891511,-8.08571077100725,-5.29449886661959
0.1425,-3.13737922056394,-8.0653279997841,-5.25884702996385
0.145,-3.15775705197678,-8.0653279997841,-5.25884702996385
0.1475,-3.16285150982999,-8.11118923503619,-5.2639401494861
0.15,-3.16794596768321,-8.11118923503619,-5.2741263885306
0.1525,-3.2137960883621,-8.08061507820146,-5.27921950805285
0.155,-3.22907946192173,-8.09080646381304,-5.28431262757509
0.1575,-3.23417391977494,-8.08571077100725,-5.27921950805285
0.16,-3.15266259412357,-8.11118923503619,-5.26903326900835
