time,V_ai0,V_ai1,V_ai2
0,-3.67229729515105,-0.0803773731136506,-3.12482995014128
0.0025,-3.67739175300426,-0.0803773731136506,-3.15029554775253
0.005,-3.68758066871069,-0.0803773731136506,-3.12482995014128
0.0075,-3.65191946373821,-0.0803773731136506,-3.31327537246451
0.01,-3.69776958441711,-0.0803773731136506,-3.08917811348553
0.0125,-3.65191946373821,-0.0803773731136506,-3.08408499396328
0.015,-3.65191946373821,-0.0803773731136506,-3.09427123300778
0.0175,-3.65701392159142,-0.075281680307862,-3.20631986249727
0.02,-3.63154163232537,-0.0803773731136506,-3.23178546010852
0.0225,-3.58569151164647,-0.0803773731136506,-3.10955059157453
0.025,-3.55512476452721,-0.0803773731136506,-3.08917811348553
0.0275,-3.57550259594005,-0.0803773731136506,-3.08917811348553
0.03,-3.53984139096758,-0.0803773731136506,-3.09427123300778
0.0325,-3.53984139096758,-0.0803773731136506,-3.09427123300778
0.035,-3.55512476452721,-0.0803773731136506,-3.14520242823028
0.0375,-3.48889681243547,-0.0803773731136506,-3.08408499396328
0.04,-3.50927464384831,-0.0803773731136506,-3.07899187444103
0.0425,-3.5041801859951,-0.0854730659194392,-3.09427123300778
0.045,-3.47870789672905,-0.0803773731136506,-3.08408499396328
0.0475,-3.47361343887584,-0.0803773731136506,-3.27762353580877
0.05,-3.32077970327952,-0.0803773731136506,-3.16557490631928
0.0525,-3.31568524542631,-0.0803773731136506,-3.02806067921854
0.055,-3.30549632971989,-0.0803773731136506,-3.11464371109678
0.0575,-3.30549632971989,-0.0803773731136506,-3.15538866727478
0.06,-3.34115753469236,-0.0803773731136506,-3.11973683061903
0.0625,-3.31568524542631,-0.0803773731136506,-3.14010930870803
0.065,-3.33606307683915,-0.0803773731136506,-3.11464371109678
0.0675,-3.33606307683915,-0.0803773731136506,-3.14520242823028
0.07,-3.24436283548136,-0.0803773731136506,-3.08917811348553
0.0725,-3.24945729333457,-0.0803773731136506,-3.12992306966353
0.075,-3.34115753469236,-0.0803773731136506,-3.07899187444103
0.0775,-3.30040187186668,-0.0803773731136506,-3.06880563539654
0.08,-3.33096861898594,-0.0803773731136506,-3.07899187444103
0.0825,-3.32587416113273,-0.0803773731136506,-3.05861939635204
0.085,-3.41247994463731,-0.0803773731136506,-3.17066802584153
0.0875,-3.45833006531621,-0.0803773731136506,-3.05352627682979
0.09,-3.47870789672905,-0.0803773731136506,-3.03824691826304
0.0925,-3.45833006531621,-0.0803773731136506,-3.04843315730754
0.095,-3.45833006531621,-0.0803773731136506,-3.05352627682979
0.0975,-3.47361343887584,-0.0803773731136506,-3.04843315730754
0.1,-3.44304669175658,-0.0803773731136506,-3.03824691826304
0.1025,-3.453235607463,-0.0803773731136506,-3.04843315730754
0.105,-3.44304669175658,-0.0803773731136506,-3.04334003778529
0.1075,-3.45833006531621,-0.0803773731136506,-3.03824691826304
0.11,-3.45833006531621,-0.0803773731136506,-3.10445747205228
0.1125,-3.46342452316942,-0.075281680307862,-3.08408499396328
0.115,-3.50927464384831,-0.0803773731136506,-3.10955059157453
0.1175,-3.48889681243547,-0.0803773731136506,-3.05352627682979
0.12,-3.49399127028868,-0.0803773731136506,-3.04334003778529
0.1225,-3.49908572814189,-0.0803773731136506,-3.19104050393052
0.125,-3.24436283548136,-0.0803773731136506,-3.27253041628652
0.1275,-3.24436283548136,-0.0803773731136506,-3.20122674297502
0.13,-3.25455175118779,-0.0803773731136506,-3.23687857963077
0.1325,-3.259646209041,-0.0803773731136506,-3.18085426488603
0.135,-3.259646209041,-0.0803773731136506,-3.20122674297502
0.1375,-3.71814741582995,-0.0803773731136506,-3.18085426488603
0.14,-3.6926751265639,-0.0803773731136506,-3.15029554775253
0.1425,-3.6926751265639,-0.0803773731136506,-3.19104050393052
0.145,-3.70795850012353,-0.0803773731136506,-3.13501618918578
0.1475,-3.73852524724279,-0.0803773731136506,-3.10955059157453
0.15,-3.71305295797674,-0.0803773731136506,-3.08408499396328
0.1525,-3.71305295797674,-0.0803773731136506,-3.21141298201952
0.155,-3.73343078938958,-0.0803773731136506,-3.10955059157453
0.1575,-3.73852524724279,-0.0803773731136506,-3.07389875491879
0.16,-3.76909199436206,-0.0803773731136506,-3.06880563539654
0.1625,-3.78437536792169,-0.0803773731136506,-3.10445747205228
0.165,-3.80984765718774,-0.0803773731136506,-3.04843315730754
0.1675,-3.80984765718774,-0.0803773731136506,-3.02806067921854
0.17,-3.82003657289416,-0.0803773731136506,-3.02806067921854
0.1725,-3.83022548860058,-0.0803773731136506,-3.01787444017404
0.175,-3.83531994645379,-0.0803773731136506,-3.01278132065179
0.1775,-3.81494211504095,-0.0803773731136506,-3.01787444017404
0.18,-3.80984765718774,-0.0803773731136506,-3.00768820112954
0.1825,-3.83531994645379,-0.0803773731136506,-3.00259508160729
0.185,-3.85060332001342,-0.0803773731136506,-2.97712948399604
0.1875,-3.82513103074737,-0.0803773731136506,-2.96694324495154
0.19,-3.83022548860058,-0.0803773731136506,-2.99240884256279
0.1925,-3.80475319933453,-0.0803773731136506,-2.99240884256279
0.195,-3.86079223571985,-0.0803773731136506,-2.95675700590705
0.1975,-3.80475319933453,-0.0803773731136506,-2.98222260351829
0.2,-3.83022548860058,-0.0803773731136506,-3.02806067921854
0.2025,-3.86588669357306,-0.0803773731136506,-3.01787444017404
0.205,-3.76909199436206,-0.0803773731136506,-3.02806067921854
0.2075,-3.80475319933453,-0.0803773731136506,-3.01787444017404
0.21,-3.70795850012353,-0.0803773731136506,-3.24706481867527
0.2125,-3.69776958441711,-0.0803773731136506,-3.02296755969629
0.215,-3.66210837944463,-0.0803773731136506,-3.19104050393052
0.2175,-3.67229729515105,-0.0803773731136506,-3.00768820112954
0.22,-3.64173054803179,-0.0803773731136506,-3.25725105771977
0.2225,-3.63663609017858,-0.0803773731136506,-3.29290289437552
0.225,-3.62644717447216,-0.0803773731136506,-3.32855473103126
0.2275,-3.62135271661895,-0.0803773731136506,-3.34892720912026
0.23,-3.61625825876574,-0.0803773731136506,-3.33874097007576
0.2325,-3.63154163232537,-0.0803773731136506,-3.26234417724202
0.235,-3.58569151164647,-0.075281680307862,-3.28271665533102
0.2375,-3.58569151164647,-0.0803773731136506,-3.28780977485327
0.24,-3.53984139096758,-0.0803773731136506,-3.25215793819752
0.2425,-3.53474693311437,-0.0803773731136506,-3.34383408959801
0.245,-3.56021922238042,-0.0803773731136506,-3.19613362345277
0.2475,-3.48889681243547,-0.0803773731136506,-3.31327537246451
0.25,-3.5041801859951,-0.0803773731136506,-3.30308913342002
0.2525,-3.46851898102263,-0.0803773731136506,-3.22669234058627
0.255,-3.49399127028868,-0.0803773731136506,-3.22159922106402
0.2575,-3.48380235458226,-0.0803773731136506,-3.25215793819752
0.26,-3.47870789672905,-0.0803773731136506,-3.39476528482051
0.2625,-3.51436910170153,-0.0803773731136506,-3.23687857963077
0.265,-3.45833006531621,-0.0803773731136506,-3.26743729676427
0.2675,-3.45833006531621,-0.0803773731136506,-3.27762353580877
0.27,-3.45833006531621,-0.0803773731136506,-3.27762353580877
0.2725,-3.46851898102263,-0.0803773731136506,-3.26743729676427
0.275,-3.46851898102263,-0.0803773731136506,-3.29290289437552
0.2775,-3.46851898102263,-0.0803773731136506,-3.25215793819752
0.28,-3.49399127028868,-0.0803773731136506,-3.18085426488603
0.2825,-3.49908572814189,-0.0803773731136506,-3.19104050393052
0.285,-3.5041801859951,-0.0803773731136506,-3.17576114536378
0.2875,-3.51946355955474,-0.0803773731136506,-3.15538866727478
