Time stamp;PV [in H2O] ;State PV;SV [C] ;State SV;TV;State TV;QV;State QV;Current [mA] ;State Current
20.11.2025 22:28:49;53,2604179382324;0;20,8246154785156;0;0,213041722774506;0;;-1;7,40866708755493;0
20.11.2025 22:28:51;54,3057327270508;0;20,8246154785156;0;0,217222943902016;0;;-1;7,47556686401367;0
20.11.2025 22:28:53;53,9358215332031;0;20,8246154785156;0;0,215743362903595;0;;-1;7,45189380645752;0
20.11.2025 22:28:56;54,7287750244141;0;20,8253479003906;0;0,218915164470673;0;;-1;7,50264310836792;0
20.11.2025 22:28:58;54,4660263061523;0;20,8255310058594;0;0,217864066362381;0;;-1;7,4858250617981;0
20.11.2025 22:29:01;54,2511787414551;0;20,8251647949219;0;0,217004716396332;0;;-1;7,47207593917847;0
20.11.2025 22:29:03;55,3850593566895;0;20,8253479003906;0;0,22154027223587;0;;-1;7,54464483261108;0
20.11.2025 22:29:05;54,9320755004883;0;20,8257446289063;0;0,219728365540504;0;;-1;7,51565361022949;0
20.11.2025 22:29:08;55,0197601318359;0;20,8255310058594;0;0,219691976904869;0;;-1;7,52126502990723;0
20.11.2025 22:29:10;55,4068298339844;0;20,8253479003906;0;0,221627339720726;0;;-1;7,5460376739502;0
20.11.2025 22:29:13;55,0214576721191;0;20,8253479003906;0;0,220085859298706;0;;-1;7,52137422561646;0
20.11.2025 22:29:15;54,7717971801758;0;20,8251647949219;0;0,219087213277817;0;;-1;7,50539493560791;0
20.11.2025 22:29:17;54,8332481384277;0;20,8255310058594;0;0,219333037734032;0;;-1;7,50932884216309;0
20.11.2025 22:29:19;53,8204002380371;0;20,8255310058594;0;0,215281650424004;0;;-1;7,44450664520264;0
20.11.2025 22:29:22;55,4960746765137;0;20,8255310058594;0;0,221884086728096;0;;-1;7,55174922943115;0
20.11.2025 22:29:24;54,2922668457031;0;20,8257446289063;0;0,217169106006622;0;;-1;7,47470569610596;0
20.11.2025 22:29:27;55,2805023193359;0;20,8257446289063;0;0,221122056245804;0;;-1;7,5379524230957;0
20.11.2025 22:29:29;54,5462074279785;0;20,8258972167969;0;0,218184873461723;0;;-1;7,49095773696899;0
20.11.2025 22:29:31;54,9469528198242;0;20,8257446289063;0;0,219787806272507;0;;-1;7,51660490036011;0
20.11.2025 22:29:34;54,0972366333008;0;20,8258972167969;0;0,216388925909996;0;;-1;7,46222305297852;0
20.11.2025 22:29:36;55,5242805480957;0;20,8263244628906;0;0,222097173333168;0;;-1;7,55355501174927;0
20.11.2025 22:29:38;55,3877105712891;0;20,8263244628906;0;0,22155088186264;0;;-1;7,54481363296509;0
20.11.2025 22:29:41;54,7767868041992;0;20,8260803222656;0;0,219107180833817;0;;-1;7,50571393966675;0
20.11.2025 22:29:43;55,1618843078613;0;20,8260803222656;0;0,220647588372231;0;;-1;7,53036165237427;0
