time,V_ai0,V_ai1,V_ai2
0,-5.38912959168302,-2.52630991989209,-6.3742402053365
0.0025,-5.38912959168302,-2.58745823356155,-6.4149851615145
0.005,-5.40441296524266,-2.58745823356155,-6.4149851615145
0.0075,-5.38912959168302,-2.71994624651205,-6.4353576396035
0.01,-5.39422404953623,-2.71485055370626,-6.40479892247
0.0125,-5.39931850738945,-2.64351085442522,-6.46591635673699
0.015,-5.40950742309587,-2.63841516161944,-6.42007828103675
0.0175,-5.41460188094908,-2.66389362564838,-6.42007828103675
0.02,-5.41460188094908,-2.63841516161944,-6.52194067148174
0.0225,-5.44007417021513,-2.66898931845417,-6.53722003004849
0.025,-5.45026308592155,-2.68937208967732,-6.4149851615145
0.0275,-5.44007417021513,-2.64351085442522,-6.42007828103675
0.03,-5.44007417021513,-2.74542471054099,-6.43026452008125
0.0325,-5.44516862806834,-2.66389362564838,-6.45063699817024
0.035,-5.45026308592155,-2.66898931845417,-6.40989204199225
0.0375,-5.4757353751876,-2.66389362564838,-6.44045075912575
0.04,-5.51649103801329,-2.67408501125995,-6.4353576396035
0.0425,-5.49101874874724,-2.66898931845417,-6.43026452008125
0.045,-5.49101874874724,-2.67408501125995,-6.40989204199225
0.0475,-5.51649103801329,-2.65879793284259,-6.40479892247
0.05,-5.49101874874724,-2.6537022400368,-6.46591635673699
0.0525,-5.48592429089403,-2.68937208967732,-6.384426444381
0.055,-5.4757353751876,-2.68427639687153,-6.3946126834255
0.0575,-5.54705778513255,-2.68427639687153,-6.384426444381
0.06,-5.51649103801329,-2.65879793284259,-6.39970580294775
0.0625,-5.51139658016008,-2.65879793284259,-6.45573011769249
0.065,-5.50630212230687,-2.6537022400368,-6.45573011769249
0.0675,-5.50630212230687,-0.0956644515310163,-6.445543878648
0.07,-5.48082983304081,-0.0956644515310163,-6.425171400559
0.0725,-5.53686886942613,-0.0956644515310163,-6.49138195434824
0.075,-5.51139658016008,-0.0956644515310163,-6.425171400559
0.0775,-5.50630212230687,-0.0956644515310163,-6.4353576396035
0.08,-5.5215854958665,-0.0956644515310163,-6.4353576396035
0.0825,-5.51649103801329,-0.0956644515310163,-6.46082323721474
0.085,-5.50120766445366,-0.0956644515310163,-6.44045075912575
0.0875,-5.49611320660045,-0.0956644515310163,-6.445543878648
0.09,-5.49611320660045,-0.0956644515310163,-6.46591635673699
0.0925,-5.48082983304081,-0.0956644515310163,-6.53212691052624
0.095,-5.4757353751876,-1.35939626736654,-6.48119571530374
0.0975,-5.4757353751876,-1.43073596664758,-6.48119571530374
0.1,-5.46554645948118,-1.33901349614339,-6.48628883482599
0.1025,-5.46045200162797,-1.3339178033376,-6.66964113762698
0.105,-5.45535754377476,-1.31353503211445,-6.59324434479323
0.1075,-5.45026308592155,-1.33901349614339,-6.50156819339274
0.11,-5.45026308592155,-1.30843933930866,-6.67982737667147
0.1125,-5.44516862806834,-1.32882211053181,-6.53212691052624
0.115,-5.44007417021513,-1.34920488175497,-6.55249938861524
0.1175,-5.43497971236192,-1.41035319542443,-6.59324434479323
0.12,-5.42988525450871,-1.41035319542443,-6.49647507387049
0.1225,-5.45026308592155,-1.35939626736654,-6.52194067148174
0.125,-5.40441296524266,-1.32372641772603,-6.56268562765973
0.1275,-5.39422404953623,-1.40016180981285,-6.57796498622648
0.13,-5.39422404953623,-1.3797790385897,-6.56268562765973
0.1325,-5.41460188094908,-1.38997042420127,-6.58815122527098
0.135,-5.40950742309587,-1.39506611700706,-6.58305810574873
0.1375,-5.41460188094908,-1.46131012348231,-6.53722003004849
0.14,-5.40441296524266,-1.38487473139548,-6.58815122527098
0.1425,-5.37384621812339,-1.44092735225916,-6.56777874718198
0.145,-5.36365730241697,-1.45621443067652,-6.55759250813749
0.1475,-5.35856284456376,-1.74157322780068,-6.60852370335998
0.15,-5.34837392885734,-1.74157322780068,-6.60852370335998
0.1525,-5.36875176027018,-1.49697997312283,-6.60343058383773
0.155,-5.33309055529771,-1.5122670515402,-6.60343058383773
0.1575,-5.3279960974445,-1.5530325939865,-6.73075857189397
0.16,-5.31271272388487,-1.5530325939865,-6.58305810574873
0.1625,-5.34837392885734,-1.54284120837493,-6.58305810574873
0.165,-5.34327947100413,-0.0956644515310163,-6.63908242049348
0.1675,-5.34837392885734,-1.58870244362702,-6.56777874718198
0.17,-5.34837392885734,-1.68042491413121,-6.62380306192673
0.1725,-5.31271272388487,-1.66513783571385,-6.60343058383773
0.175,-5.30252380817844,-1.66513783571385,-6.57796498622648
0.1775,-5.29742935032523,-1.75176461341225,-6.40479892247
0.18,-5.29233489247202,-1.73647753499489,-6.58305810574873
0.1825,-5.2821459767656,-1.75176461341225,-6.59324434479323
0.185,-5.31271272388487,-1.78743446305277,-6.58815122527098
0.1875,-5.24648477179313,-1.79253015585856,-6.58305810574873
0.19,-5.24139031393992,-1.79253015585856,-6.60343058383773
0.1925,-5.23629585608671,-2.05750618175956,-6.58305810574873
0.195,-5.26686260320597,-2.0371234105364,-6.63908242049348
0.1975,-5.26176814535276,-2.03202771773061,-6.56777874718198
0.2,-5.26176814535276,-2.13394157384638,-6.55249938861524
0.2025,-5.25667368749955,-1.98107078967273,-6.54740626909299
0.205,-5.25667368749955,-2.09827172420586,-6.51175443243724
0.2075,-5.24139031393992,-1.79762584866435,-6.61870994240448
0.21,-5.26176814535276,-1.86896554794538,-6.61870994240448
0.2125,-5.24648477179313,-1.86896554794538,-6.61361682288223
0.215,-5.27705151891239,-1.46131012348231,-6.51684755195949
0.2175,-5.27705151891239,-1.42564027384179,-6.61870994240448
0.22,-5.27705151891239,-1.42564027384179,-6.65436177906023
0.2225,-0.141838002876112,-1.41035319542443,-6.63908242049348
0.225,-5.29233489247202,-1.41035319542443,-6.58305810574873
0.2275,-5.32290163959129,-1.41035319542443,-6.51175443243724
0.23,-5.35346838671055,-1.40525750261864,-6.57796498622648
0.2325,-5.35346838671055,-0.100760144336805,-6.63398930097123
0.235,-5.33309055529771,-1.27786518247393,-6.59324434479323
0.2375,-5.33309055529771,-1.27786518247393,-6.54740626909299
0.24,-5.33818501315092,-1.25748241125078,-6.54740626909299
0.2425,-5.34327947100413,-1.26767379686235,-6.67473425714923
0.245,-5.33818501315092,-1.28296087527972,-6.58815122527098
0.2475,-5.34327947100413,-1.2472910256392,-6.49647507387049
0.25,-5.35856284456376,-1.23200394722183,-6.63398930097123
0.2525,-5.36365730241697,-1.2472910256392,-6.52194067148174
0.255,-5.36875176027018,-1.50207566592862,-6.61870994240448
0.2575,-5.36875176027018,-1.52755412995756,-6.61361682288223
0.26,-5.38403513382981,-1.50717135873441,-6.57287186670423
0.2625,-5.39422404953623,-1.50717135873441,-6.57796498622648
0.265,-5.44007417021513,-1.50717135873441,-6.54231314957074
0.2675,-5.44007417021513,-1.50207566592862,-6.53212691052624
0.27,-5.44007417021513,-1.49188428031704,-6.54231314957074
0.2725,-1.69564764810534,-1.51736274434598,-6.55249938861524
0.275,-0.0959878821972175,-1.54793690118071,-6.65945489858248
0.2775,-0.0959878821972175,-1.52755412995756,-6.51175443243724
0.28,-0.0959878821972175,-1.52245843715177,-6.63908242049348
0.2825,-1.80772572087598,-1.52755412995756,-6.60852370335998
0.285,-5.51649103801329,-1.53264982276335,-6.54740626909299
0.2875,-5.50630212230687,-1.54284120837493,-6.56777874718198
0.29,-5.53177441157292,-1.57341536520966,-6.62380306192673
0.2925,-5.51139658016008,-1.58360675082123,-6.57287186670423
0.295,-5.53686886942613,-1.58360675082123,-6.53722003004849
