time,V_ai0,V_ai1,V_ai2
0,-6.2449985110224,-2.38363052133001,-9.30278393063
0.0025,-6.23990405316919,-2.34286497888371,-9.28750457206325
0.005,-6.23480959531598,-2.33267359327213,-9.262038974452
0.0075,-6.22462067960956,-2.29700374363161,-9.2722252134965
0.01,-6.22462067960956,-2.28681235802003,-9.27731833301875
0.0125,-6.21952622175635,-2.28681235802003,-9.26713209397425
0.015,-6.20933730604993,-2.3020994364374,-9.30787705015225
0.0175,-6.20933730604993,-2.28171666521425,-9.262038974452
0.02,-6.19914839034351,-2.09827172420586,-9.23657337684075
0.0225,-6.18895947463709,-2.0829846457885,-9.14999034496251
0.025,-6.20424284819672,-2.05750618175956,-9.13471098639576
0.0275,-6.18895947463709,-2.07788895298271,-9.16017658400701
0.03,-6.20424284819672,-2.00654925370167,-9.38427384298599
0.0325,-6.16858164322425,-1.98616648247852,-9.11943162782901
0.035,-6.15839272751782,-1.97087940406115,-9.11433850830677
0.0375,-6.15329826966461,-1.950496632838,-9.11943162782901
0.04,-6.14310935395819,-1.94030524722642,-9.12961786687351
0.0425,-6.13292043825177,-1.91992247600327,-9.15508346448476
0.045,-6.12782598039856,-1.90973109039169,-9.16017658400701
0.0475,-6.14310935395819,-1.89444401197433,-9.16526970352926
0.05,-6.11254260683893,-1.88425262636275,-9.16017658400701
0.0525,-6.13292043825177,-1.90973109039169,-9.16017658400701
0.055,-6.10235369113251,-1.89953970478012,-9.16017658400701
0.0575,-6.07688140186645,-1.85877416233381,-9.13980410591801
0.06,-6.0972592332793,-1.86896554794538,-9.18054906209601
0.0625,-6.09216477542609,-1.84348708391644,-9.21110777922951
0.065,-6.09216477542609,-1.83329569830487,-9.221294018274
0.0675,-6.04631465474719,-1.79762584866435,-9.262038974452
0.07,-6.03612573904077,-1.78743446305277,-9.17545594257376
0.0725,-6.02084236548114,-1.82310431269329,-9.14489722544026
0.075,-6.01065344977472,-1.71099907096594,-9.18054906209601
0.0775,-6.0004645340683,-1.71609476377173,-9.14489722544026
0.08,-5.99027561836187,-1.70590337816015,-9.18054906209601
0.0825,-5.9546144133894,-1.72119045657752,-9.16526970352926
0.085,-5.94442549768298,-1.66004214290806,-9.16017658400701
0.0875,-5.93933103982977,-1.65494645010227,-9.30278393063
0.09,-5.92914212412335,-1.63456367887912,-9.18564218161826
0.0925,-5.92914212412335,-1.59379813643281,-9.18054906209601
0.095,-5.92404766627014,-1.60398952204439,-9.20601465970726
0.0975,-5.91895320841693,-1.61927660046175,-9.19073530114051
0.1,-5.91385875056371,-1.59379813643281,-9.24675961588525
0.1025,-5.91385875056371,-1.58870244362702,-9.20601465970726
0.105,-5.90366983485729,-1.57341536520966,-9.18054906209601
0.1075,-5.89857537700408,-1.685520606937,-9.17036282305151
0.11,-5.89348091915087,-1.71609476377173,-9.12452474735126
0.1125,-5.88838646129766,-1.81291292708171,-9.19073530114051
0.115,-5.88838646129766,-1.75176461341225,-9.19073530114051
0.1175,-5.88329200344445,-1.82820000549908,-9.14999034496251
0.12,-5.90366983485729,-1.82310431269329,-9.17036282305151
0.1225,-5.90366983485729,-1.78233877024698,-9.11943162782901
0.125,-5.88329200344445,-1.79762584866435,-9.11943162782901
0.1275,-5.88329200344445,-1.80781723427592,-9.16017658400701
0.13,-5.88329200344445,-1.81291292708171,-9.16017658400701
0.1325,-5.88838646129766,-1.84348708391644,-9.13980410591801
0.135,-5.9087642927105,-1.96068801844958,-9.18054906209601
0.1375,-5.88329200344445,-1.96578371125536,-9.13980410591801
0.14,-5.88329200344445,-1.950496632838,-9.14999034496251
0.1425,-5.88838646129766,-1.94030524722642,-9.23148025731851
0.145,-5.88838646129766,-2.03202771773061,-9.09396603021777
0.1475,-5.91895320841693,-1.98107078967273,-9.18054906209601
0.15,-5.92404766627014,-2.00654925370167,-9.221294018274
0.1525,-5.93423658197656,-2.04221910334219,-9.21110777922951
0.155,-5.93423658197656,-2.04731479614798,-9.13980410591801
0.1575,-5.94442549768298,-2.07788895298271,-9.11943162782901
0.16,-5.9546144133894,-2.11355880262323,-9.11943162782901
0.1625,-5.93933103982977,-2.0829846457885,-9.16017658400701
0.165,-5.94951995553619,-2.13903726665217,-9.13471098639576
0.1675,-5.95970887124261,-2.13394157384638,-9.10924538878452
0.17,-5.96480332909582,-2.13394157384638,-9.282411452541
0.1725,-5.98008670265545,-2.13903726665217,-9.15508346448476
0.175,-5.99537007621508,-2.15432434506954,-9.14489722544026
0.1775,-5.99027561836187,-2.14413295945796,-9.2518527354075
0.18,-6.02593682333435,-2.18489850190427,-9.13980410591801
0.1825,-6.04122019689398,-2.20018558032163,-9.06850043260652
0.185,-6.0514091126004,-2.215472658739,-9.13980410591801
0.1875,-6.06669248616003,-2.23075973715636,-9.07359355212877
0.19,-6.07688140186645,-2.23585542996215,-9.07359355212877
0.1925,-6.07688140186645,-2.25114250837952,-9.08887291069552
0.195,-6.08707031757288,-2.24604681557373,-9.11943162782901
0.1975,-6.10744814898572,-2.25114250837952,-9.08377979117327
0.2,-6.14310935395819,-2.3020994364374,-9.12961786687351
0.2025,-6.15329826966461,-2.29700374363161,-9.12452474735126
0.205,-6.17367610107746,-2.50592714866894,-9.11433850830677
0.2075,-6.17367610107746,-2.49064007025157,-9.15508346448476
0.21,-6.1940539324903,-2.48554437744578,-9.07868667165102
0.2125,-6.22462067960956,-2.49573576305736,-9.07868667165102
0.215,-6.22462067960956,-2.45497022061105,-9.08887291069552
0.2175,-6.23990405316919,-2.48044868463999,-9.11433850830677
0.22,-6.26028188458204,-2.48044868463999,-9.21110777922951
0.2225,-6.26537634243525,-2.47535299183421,-9.08377979117327
0.225,-6.27556525814167,-0.116047222754171,-9.10924538878452
0.2275,-6.28575417384809,-0.0956644515310163,-9.16017658400701
0.23,-6.32650983667377,-2.23075973715636,-9.11943162782901
0.2325,-6.31632092096735,-2.35305636449528,-9.09905914974002
0.235,-6.32650983667377,-2.50083145586315,-9.20601465970726
0.2375,-6.35707658379304,-2.39891759974738,-9.10924538878452
0.24,-6.36726549949946,-2.39891759974738,-9.10924538878452
0.2425,-6.35707658379304,-2.40401329255317,-9.14489722544026
0.245,-6.37235995735267,-2.40910898535896,-9.16017658400701
0.2475,-6.37745441520588,-0.126238608365746,-9.13471098639576
0.25,-6.38254887305909,-0.0956644515310163,-9.14489722544026
0.2525,-6.39273778876551,-0.0956644515310163,-9.15508346448476
0.255,-6.40292670447193,-0.0956644515310163,-9.18564218161826
0.2575,-6.40802116232514,-2.49064007025157,-9.19582842066276
0.26,-6.41821007803156,-2.50083145586315,-9.17036282305151
0.2625,-6.42839899373798,-2.48044868463999,-9.18054906209601
0.265,-6.43858790944441,-2.48554437744578,-9.16526970352926
0.2675,-6.44368236729762,-2.50592714866894,-9.18054906209601
0.27,-6.45387128300404,-2.50592714866894,-9.262038974452
0.2725,-6.4844380301233,-2.51611853428051,-9.2722252134965
0.275,-6.4844380301233,-2.55178838392103,-9.2722252134965
0.2775,-6.4844380301233,-2.54159699830946,-9.18564218161826
0.28,-6.4844380301233,-2.53650130550367,-9.20092154018501
0.2825,-6.48953248797651,-2.53140561269788,-9.19582842066276
0.285,-6.49462694582972,-2.53650130550367,-9.221294018274
0.2875,-6.49972140368293,-2.64860654723101,-9.23148025731851
0.29,-6.53538260865541,-2.62822377600786,-9.19582842066276
0.2925,-6.49462694582972,-2.6078410047847,-9.23148025731851
0.295,-6.49972140368293,-2.60274531197892,-9.24675961588525
0.2975,-6.49972140368293,-2.59255392636734,-9.221294018274
0.3,-6.49972140368293,-2.57726684794997,-9.262038974452
0.3025,-6.52519369294899,-2.62312808320207,-9.21620089875176
0.305,-6.52519369294899,-2.62822377600786,-9.24675961588525
0.3075,-6.5302881508022,-2.6078410047847,-9.23148025731851
0.31,-6.4844380301233,-2.62822377600786,-9.27731833301875
0.3125,-6.4844380301233,-2.58745823356155,-9.2722252134965
0.315,-6.47934357227009,-2.6078410047847,-9.38427384298599
0.3175,-6.47424911441688,-2.61293669759049,-9.221294018274
0.32,-6.47424911441688,-2.58745823356155,-9.21110777922951
0.3225,-6.46915465656367,-2.61293669759049,-9.18054906209601
0.325,-6.45896574085725,-2.58236254075576,-9.19073530114051
0.3275,-6.45387128300404,-2.55178838392103,-9.241666496363
0.33,-6.45387128300404,-2.54669269111524,-9.10415226926226
0.3325,-6.44368236729762,-2.55688407672682,-9.11433850830677
0.335,-6.4334934515912,-2.55178838392103,-9.10415226926226
0.3375,-6.42839899373798,-2.55178838392103,-9.27731833301875
0.34,-6.42330453588477,-2.56197976953261,-9.2925976915855
0.3425,-6.40802116232514,-2.55688407672682,-9.10415226926226
0.345,-6.39783224661872,-2.51102284147473,-9.11433850830677
0.3475,-6.39273778876551,-2.50592714866894,-9.11943162782901
0.35,-6.38254887305909,-2.46516160622263,-9.11943162782901
0.3525,-6.37235995735267,-2.47535299183421,-9.16017658400701
0.355,-6.38254887305909,-2.50592714866894,-9.14999034496251
0.3575,-6.37235995735267,-2.47535299183421,-9.18054906209601
0.36,-6.37235995735267,-2.26642958679688,-9.18564218161826
0.3625,-6.32650983667377,-2.29700374363161,-9.16526970352926
0.365,-6.31632092096735,-2.24095112276794,-9.16526970352926
0.3675,-6.30103754740772,-2.39382190694159,-9.20601465970726
0.37,-6.2908486317013,-2.24095112276794,-9.19582842066276
0.3725,-6.27556525814167,-2.41930037097053,-9.22638713779626
0.375,-6.26028188458204,-2.46006591341684,-9.23657337684075
0.3775,-6.23990405316919,-2.17470711629269,-9.21110777922951
0.38,-6.23480959531598,-2.18999419471005,-9.21620089875176
0.3825,-6.22462067960956,-2.20528127312742,-9.34862200633025
0.385,-6.21443176390314,-2.05241048895377,-9.2518527354075
0.3875,-6.20933730604993,-2.04221910334219,-9.26713209397425
0.39,-6.1940539324903,-2.15432434506954,-9.262038974452
0.3925,-6.18895947463709,-2.15432434506954,-9.2925976915855
0.395,-6.18386501678388,-2.15942003787532,-9.31806328919675
0.3975,-6.17367610107746,-2.13394157384638,-9.30278393063
0.4,-6.16348718537103,-2.07788895298271,-9.16017658400701
0.4025,-6.17877055893067,-2.13394157384638,-9.221294018274
0.405,-6.17367610107746,-2.00145356089588,-9.323156408719
0.4075,-6.16858164322425,-1.97087940406115,-9.37408760394149
0.41,-6.16348718537103,-1.9963578680901,-9.221294018274
0.4125,-6.11254260683893,-1.99126217528431,-9.23657337684075
0.415,-6.11254260683893,-1.96068801844958,-9.11943162782901
0.4175,-6.10744814898572,-1.87915693355696,-9.17545594257376
0.42,-6.10235369113251,-1.90973109039169,-9.15508346448476
0.4225,-6.0972592332793,-1.950496632838,-9.2518527354075
0.425,-6.07178694401324,-1.950496632838,-9.14999034496251
0.4275,-6.0972592332793,-1.85367846952802,-9.17545594257376
0.43,-6.08707031757288,-1.9046353975859,-9.16526970352926
0.4325,-6.08197585971966,-1.84348708391644,-9.15508346448476
0.435,-6.07178694401324,-1.84348708391644,-9.17036282305151
0.4375,-6.04631465474719,-1.84858277672223,-9.17036282305151
0.44,-6.03612573904077,-0.0956644515310163,-9.16526970352926
0.4425,-6.03103128118756,-0.0956644515310163,-9.17036282305151
0.445,-6.03103128118756,-0.0956644515310163,-9.20601465970726
0.4475,-5.98518116050866,-0.0956644515310163,-9.20092154018501
0.45,-5.98008670265545,-0.0956644515310163,-9.18054906209601
0.4525,-6.0004645340683,-0.0956644515310163,-9.18564218161826
0.455,-5.99027561836187,-0.0956644515310163,-9.25694585492975
0.4575,-5.98518116050866,-0.0956644515310163,-9.22638713779626
0.46,-5.98008670265545,-0.0956644515310163,-9.262038974452
0.4625,-5.96989778694903,-0.0956644515310163,-9.30278393063
0.465,-5.96989778694903,-0.0956644515310163,-9.2925976915855
0.4675,-5.96480332909582,-2.28171666521425,-9.22638713779626
0.47,-5.93933103982977,-2.28681235802003,-9.21620089875176
0.4725,-5.93933103982977,-2.29190805082582,-9.31806328919675
0.475,-5.94442549768298,-2.31229082204898,-9.28750457206325
0.4775,-5.93933103982977,-2.32248220766055,-9.2722252134965
0.48,-5.94442549768298,-2.31738651485477,-9.20092154018501
0.4825,-5.94442549768298,-2.31738651485477,-9.21110777922951
0.485,-5.93933103982977,-2.36834344291265,-9.221294018274
0.4875,-5.94442549768298,-2.38363052133001,-9.221294018274
0.49,-5.93933103982977,-2.41420467816475,-9.22638713779626
0.4925,-5.93933103982977,-2.36834344291265,-9.241666496363
0.495,-5.93933103982977,-2.36834344291265,-9.241666496363
0.4975,-5.93933103982977,-2.39382190694159,-9.24675961588525
0.5,-5.96480332909582,-2.42439606377632,-9.221294018274
0.5025,-5.96480332909582,-2.35305636449528,-9.221294018274
0.505,-5.95970887124261,-2.36324775010686,-9.262038974452
0.5075,-5.96480332909582,-2.33776928607792,-9.24675961588525
0.51,-0.0959878821972175,-2.35815205730107,-9.35371512585249
0.5125,-5.98518116050866,-2.37853482852423,-9.343528886808
0.515,-5.95970887124261,-2.34286497888371,-9.39955320155274
0.5175,-5.93933103982977,-2.34286497888371,-9.33843576728575
0.52,-5.93423658197656,-2.33776928607792,-9.30278393063
0.5225,-5.93423658197656,-2.48044868463999,-9.30787705015225
0.525,-5.93423658197656,-2.35815205730107,-9.24675961588525
0.5275,-0.0959878821972175,-2.31738651485477,-9.37408760394149
0.53,-0.0959878821972175,-2.30719512924319,-9.30787705015225
0.5325,-0.0908934243440065,-2.30719512924319,-9.262038974452
0.535,-0.0959878821972175,-2.31229082204898,-9.2722252134965
0.5375,-0.0908934243440065,-2.28681235802003,-9.30278393063
0.54,-5.91895320841693,-2.2562382011853,-9.2722252134965
0.5425,-5.91385875056371,-2.24095112276794,-9.282411452541
0.545,-5.91385875056371,-2.215472658739,-9.3129701696745
0.5475,-5.9087642927105,-2.23075973715636,-9.3129701696745
0.55,-5.90366983485729,-2.22056835154479,-9.282411452541
0.5525,-5.93933103982977,-2.23585542996215,-9.262038974452
