time,V_ai0,V_ai1,V_ai2
0,-6.18386501678388,-2.5670754623384,-7.63224072733214
0.0025,-6.18386501678388,-2.54159699830946,-7.66279944446564
0.005,-6.18386501678388,-2.50592714866894,-7.62714760780989
0.0075,-6.18386501678388,-1.7721473846354,-7.70354440064364
0.01,-6.16858164322425,-2.58236254075576,-7.69845128112139
0.0125,-6.17367610107746,-1.75686030621804,-7.61186824924314
0.015,-6.16858164322425,-1.64985075729648,-7.62205448828764
0.0175,-6.13292043825177,-1.62437229326754,-7.62714760780989
0.02,-6.15329826966461,-1.60908521485018,-7.62205448828764
0.0225,-6.15329826966461,-1.60398952204439,-7.61696136876539
0.025,-6.1482038118114,-1.60398952204439,-7.68826504207689
0.0275,-6.11763706469214,-1.60398952204439,-7.65770632494339
0.03,-6.13801489610498,-1.60908521485018,-7.62205448828764
0.0325,-6.12782598039856,-1.62437229326754,-7.63224072733214
0.035,-6.12273152254535,-1.62437229326754,-7.63224072733214
0.0375,-6.11254260683893,-1.61418090765596,-7.62714760780989
0.04,-6.11254260683893,-1.63965937168491,-7.63224072733214
0.0425,-6.12782598039856,-1.79762584866435,-7.63224072733214
0.045,-6.12782598039856,-1.6447550644907,-7.82068614965538
0.0475,-6.08707031757288,-1.68042491413121,-7.63733384685439
0.05,-6.07688140186645,-1.66513783571385,-7.64242696637664
0.0525,-6.07688140186645,-1.68042491413121,-7.63733384685439
0.055,-6.07688140186645,-1.70080768535437,-7.61696136876539
0.0575,-6.06669248616003,-1.80781723427592,-7.62714760780989
0.06,-6.06669248616003,-1.82310431269329,-7.64752008589889
0.0625,-6.06159802830682,-1.83839139111065,-7.69845128112139
0.065,-6.04631465474719,-1.82820000549908,-7.65261320542114
0.0675,-6.04122019689398,-1.8638698551396,-7.62714760780989
0.07,-6.03103128118756,-1.87406124075117,-7.73410311777713
0.0725,-6.09216477542609,-1.89444401197433,-7.64242696637664
0.075,-6.06159802830682,-1.90973109039169,-7.67807880303239
0.0775,-6.01065344977472,-1.91992247600327,-7.66789256398789
0.08,-6.00555899192151,-1.93520955442063,-7.70354440064364
0.0825,-6.02084236548114,-1.96578371125536,-7.63733384685439
0.085,-6.03103128118756,-1.96578371125536,-7.60677512972089
0.0875,-5.96989778694903,-2.00654925370167,-7.71882375921039
0.09,-5.99537007621508,-1.99126217528431,-7.71373063968814
0.0925,-5.99027561836187,-2.00145356089588,-7.58130953210965
0.095,-5.98008670265545,-2.15432434506954,-7.5762164125874
0.0975,-5.95970887124261,-2.29190805082582,-7.63224072733214
0.1,-5.9546144133894,-2.23075973715636,-7.67298568351014
0.1025,-5.94442549768298,-2.28171666521425,-7.68317192255464
0.105,-5.9546144133894,-2.11865449542902,-7.67807880303239
0.1075,-5.94442549768298,-2.15942003787532,-8.20776323334634
0.11,-5.96480332909582,-2.39891759974738,-7.5456576954539
0.1125,-5.93423658197656,-2.1237501882348,-7.5456576954539
0.115,-5.90366983485729,-2.01164494650746,-7.63224072733214
0.1175,-5.91895320841693,-2.09317603140008,-7.64752008589889
0.12,-5.93933103982977,-2.41930037097053,-7.63733384685439
0.1225,-5.92914212412335,-1.93011386161485,-7.57112329306515
0.125,-5.92404766627014,-1.97597509686694,-7.61696136876539
0.1275,-5.91895320841693,-1.96068801844958,-7.60677512972089
0.13,-5.91385875056371,-1.950496632838,-7.65261320542114
0.1325,-5.9087642927105,-1.94540094003221,-7.63224072733214
0.135,-5.9087642927105,-1.96068801844958,-7.62714760780989
0.1375,-5.89348091915087,-1.93011386161485,-7.53037833688715
0.14,-5.89857537700408,-1.95559232564379,-7.5252852173649
0.1425,-5.89857537700408,-1.96068801844958,-7.56093705402065
0.145,-5.90366983485729,-1.98107078967273,-8.03969028911211
0.1475,-5.9087642927105,-1.99126217528431,-7.61186824924314
0.15,-5.88329200344445,-1.99126217528431,-7.61696136876539
0.1525,-5.91385875056371,-2.07279326017692,-7.53037833688715
0.155,-5.93933103982977,-2.06769756737113,-7.52019209784265
0.1575,-5.90366983485729,-2.05750618175956,-7.5252852173649
0.16,-5.90366983485729,-2.17980280909848,-7.49981961975365
0.1625,-5.92914212412335,-2.11865449542902,-7.4947265002314
0.165,-5.90366983485729,-2.09317603140008,-7.5150989783204
0.1675,-5.89857537700408,-2.36324775010686,-7.5150989783204
0.17,-5.92404766627014,-2.13394157384638,-7.51000585879815
0.1725,-5.92914212412335,-2.14413295945796,-7.69335816159914
0.175,-5.92914212412335,-2.1237501882348,-7.60168201019865
0.1775,-5.93423658197656,-2.15942003787532,-7.5965888906764
0.18,-5.93933103982977,-2.10846310981744,-7.59149577115415
0.1825,-5.93933103982977,-2.13394157384638,-7.58130953210965
0.185,-5.98518116050866,-2.14922865226375,-7.58130953210965
0.1875,-5.96480332909582,-2.10336741701165,-7.55075081497615
0.19,-5.95970887124261,-2.09317603140008,-7.54056457593165
0.1925,-5.98008670265545,-2.01674063931325,-7.55075081497615
0.195,-5.98008670265545,-2.01674063931325,-7.49981961975365
0.1975,-5.99027561836187,-2.00654925370167,-7.49981961975365
0.2,-6.01065344977472,-2.00654925370167,-7.5252852173649
0.2025,-6.01574790762793,-2.00145356089588,-7.49981961975365
