time,V_ai0,V_ai1,V_ai2
0,-3.49399127028868,-8.05004092136673,-1.65801152773341
0.0025,-3.49908572814189,-8.07042369258989,-1.66310464725566
0.005,-3.49908572814189,-8.06023230697831,-1.65291840821116
0.0075,-3.49908572814189,-8.0653279997841,-1.6987564839114
0.01,-0.0959878821972175,-8.05004092136673,-1.62235969107766
0.0125,-3.49399127028868,-8.07551938539567,-1.63254593012216
0.015,-3.46851898102263,-8.05004092136673,-1.63254593012216
0.0175,-3.59078596949968,-8.07042369258989,-1.62745281059991
0.02,-3.59588042735289,-8.05513661417252,-1.69366336438915
0.0225,-3.60606934305932,-8.07042369258989,-1.58670785442191
0.025,-3.51946355955474,-8.09590215661883,-1.58161473489966
0.0275,-3.16285150982999,-8.1060935422304,-1.77515327674515
0.03,-3.24945729333457,-8.10099784942462,-1.60708033251091
0.0325,-3.24436283548136,-8.09590215661883,-1.61217345203316
0.035,-3.37172428181163,-8.10099784942462,-1.60198721298866
0.0375,-3.30549632971989,-8.11628492784198,-1.60198721298866
0.04,-3.28002404045384,-8.16214616309408,-1.58161473489966
0.0425,-3.24945729333457,-8.11628492784198,-1.60198721298866
0.045,-3.34115753469236,-8.10099784942462,-1.61217345203316
0.0475,-3.31568524542631,-8.1060935422304,-1.63763904964441
0.05,-3.34625199254558,-8.11628492784198,-1.64273216916666
0.0525,-3.29530741401347,-8.12647631345356,-1.61726657155541
0.055,-3.38700765537126,-8.14176339187092,-1.61726657155541
0.0575,-3.32077970327952,-8.13157200625935,-1.63763904964441
0.06,-3.41757440249052,-8.14176339187092,-1.64273216916666
0.0625,-3.33606307683915,-8.13157200625935,-1.64273216916666
0.065,-3.38700765537126,-8.12647631345356,-1.64782528868891
0.0675,-3.42266886034373,-8.16724185589987,-0.0995169539250416
0.07,-3.44304669175658,-8.13666769906514,-1.60198721298866
0.0725,-3.44304669175658,-8.13157200625935,-1.59689409346641
0.075,-3.43795223390337,-8.12647631345356,-1.60198721298866
0.0775,-3.44304669175658,-8.11118923503619,-1.61217345203316
0.08,-3.4073854867841,-8.14685908467671,-1.62745281059991
0.0825,-3.51436910170153,-8.11118923503619,-1.63254593012216
0.085,-3.49399127028868,-8.13666769906514,-1.67838400582241
0.0875,-3.44814114960979,-8.13157200625935,-1.64782528868891
0.09,-3.50927464384831,-8.13157200625935,-1.65801152773341
0.0925,-3.48889681243547,-8.12647631345356,-1.65291840821116
0.095,-3.5041801859951,-8.14176339187092,-1.6885702448669
0.0975,-3.51946355955474,-8.20291170554038,-1.69366336438915
0.1,-3.53984139096758,-8.14685908467671,-1.60198721298866
0.1025,-3.56021922238042,-8.14176339187092,-1.62235969107766
0.105,-3.63154163232537,-8.11628492784198,-1.62235969107766
0.1075,-3.63154163232537,-8.11118923503619,-1.63254593012216
0.11,-3.56531368023363,-8.12647631345356,-1.63254593012216
0.1125,-3.64173054803179,-8.11628492784198,-1.63763904964441
0.115,-3.59588042735289,-8.14685908467671,-1.62745281059991
0.1175,-3.68248621085748,-8.12647631345356,-1.63254593012216
0.12,-3.72324187368316,-8.14685908467671,-1.67838400582241
0.1225,-3.64173054803179,-8.1060935422304,-1.66310464725566
0.125,-3.62644717447216,-8.13666769906514,-1.6987564839114
0.1275,-3.64173054803179,-8.13157200625935,-1.71403584247815
0.13,-3.63663609017858,-8.13157200625935,-1.73440832056715
0.1325,-3.60606934305932,-8.12647631345356,-1.68347712534466
0.135,-3.646825005885,-8.13157200625935,-1.6885702448669
0.1375,-3.57550259594005,-8.12138062064777,-1.6987564839114
0.14,-3.550030306674,-8.10099784942462,-1.7089427229559
0.1425,-3.50927464384831,-8.14176339187092,-1.74459455961165
0.145,-3.53984139096758,-8.14176339187092,-1.71403584247815
0.1475,-3.47361343887584,-8.14176339187092,-1.71403584247815
0.15,-3.51946355955474,-0.100760144336805,-1.70384960343365
0.1525,-3.46342452316942,-8.13666769906514,-1.71403584247815
0.155,-3.453235607463,-8.11118923503619,-1.71403584247815
0.1575,-3.47870789672905,-8.08061507820146,-1.73440832056715
0.16,-3.54493584882079,-8.10099784942462,-1.75478079865615
0.1625,-3.48380235458226,-8.13157200625935,-1.78533951578965
0.165,-3.45833006531621,-8.11118923503619,-1.79552575483415
0.1675,-3.46342452316942,-8.1060935422304,-1.80571199387864
0.17,-3.5041801859951,-8.11118923503619,-1.83117759148989
0.1725,-3.53984139096758,-8.08571077100725,-1.7904326353119
0.175,-3.51946355955474,-8.09590215661883,-1.81080511340089
0.1775,-3.57550259594005,-8.08571077100725,-1.84645695005664
0.18,-3.64173054803179,-8.10099784942462,-1.84136383053439
0.1825,-3.65191946373821,-8.1060935422304,-1.85155006957889
0.185,-3.60097488520611,-8.11118923503619,-0.0995169539250416
0.1875,-3.52965247526116,-8.11118923503619,-0.0995169539250416
0.19,-3.6926751265639,-8.1060935422304,-0.0995169539250416
0.1925,-3.67229729515105,-8.1060935422304,-1.70384960343365
0.195,-3.76909199436206,-8.10099784942462,-1.6885702448669
0.1975,-3.83531994645379,-8.11628492784198,-1.73440832056715
0.2,-3.80984765718774,-8.11118923503619,-1.73440832056715
0.2025,-3.87607560927948,-8.11118923503619,-1.7395014400894
