Time stamp;PV [in H2O] ;State PV;SV [°C] ;State SV;TV;State TV;QV;State QV;Current [mA] ;State Current
24.11.2025 17:41:42;23,5588283538818;0;21,17626953125;0;0,0942353308200836;0;;-1;5,50776481628418;0
24.11.2025 17:41:45;24,1788444519043;0;21,1766357421875;0;0,0967153906822205;0;;-1;5,54744577407837;0
24.11.2025 17:41:47;24,1010513305664;0;21,1766357421875;0;0,0964042097330093;0;;-1;5,54246664047241;0
24.11.2025 17:41:50;24,0489120483398;0;21,1766357421875;0;0,0961956679821014;0;;-1;5,53913116455078;0
24.11.2025 17:41:52;23,9594612121582;0;21,1764221191406;0;0,0958378538489342;0;;-1;5,53416776657104;0
24.11.2025 17:41:55;23,8627223968506;0;21,1766357421875;0;0,0955721735954285;0;;-1;5,52721357345581;0
24.11.2025 17:41:57;23,9709415435791;0;21,1766357421875;0;0,0958837568759918;0;;-1;5,53414011001587;0
24.11.2025 17:42:00;24,1445960998535;0;21,177001953125;0;0,0965783968567848;0;;-1;5,54525423049927;0
24.11.2025 17:42:02;24,0049152374268;0;21,177001953125;0;0,0960196629166603;0;;-1;5,53631448745728;0
24.11.2025 17:42:05;24,575569152832;0;21,1771850585938;0;0,0983022600412369;0;;-1;5,57283687591553;0
24.11.2025 17:42:07;24,9671783447266;0;21,1775207519531;0;0,0998687297105789;0;;-1;5,59789943695068;0
24.11.2025 17:42:10;24,1737613677979;0;21,1775207519531;0;0,0966950431466103;0;;-1;5,54712104797363;0
24.11.2025 17:42:12;24,3146419525146;0;21,1777648925781;0;0,0972585827112198;0;;-1;5,5561375617981;0
24.11.2025 17:42:15;24,830249786377;0;21,1783142089844;0;0,0993210226297379;0;;-1;5,58913660049438;0
24.11.2025 17:42:17;24,4681701660156;0;21,1783142089844;0;0,0978726968169212;0;;-1;5,56596422195435;0
24.11.2025 17:42:19;24,6486892700195;0;21,1783142089844;0;0,0985947772860527;0;;-1;5,57751703262329;0
24.11.2025 17:42:22;24,4771099090576;0;21,1788940429688;0;0,0979084298014641;0;;-1;5,56653547286987;0
24.11.2025 17:42:24;24,7434196472168;0;21,1794128417969;0;0,0989736989140511;0;;-1;5,58357906341553;0
24.11.2025 17:42:27;24,9676074981689;0;21,1798095703125;0;0,0998704433441162;0;;-1;5,59792757034302;0
24.11.2025 17:42:29;24,1505908966064;0;21,1796264648438;0;0,0966023877263069;0;;-1;5,54563808441162;0
24.11.2025 17:42:32;24,7581634521484;0;21,1798095703125;0;0,0990326926112175;0;;-1;5,58452224731445;0
24.11.2025 17:42:34;24,2485408782959;0;21,1798095703125;0;0,0969941839575768;0;;-1;5,55190753936768;0
24.11.2025 17:42:37;24,2652606964111;0;21,1798095703125;0;0,0970610678195953;0;;-1;5,55297708511353;0
24.11.2025 17:42:39;24,16383934021;0;21,1799621582031;0;0,096655361354351;0;;-1;5,54648494720459;0
24.11.2025 17:42:42;23,606107711792;0;21,1803894042969;0;0,0944244414567947;0;;-1;5,51079082489014;0
24.11.2025 17:42:44;24,9143009185791;0;21,1803894042969;0;0,0996571928262711;0;;-1;5,59451484680176;0
24.11.2025 17:42:47;24,450008392334;0;21,1807250976563;0;0,0979848429560661;0;;-1;5,56480026245117;0
24.11.2025 17:42:49;24,2392292022705;0;21,180908203125;0;0,0969569459557533;0;;-1;5,55131101608276;0
24.11.2025 17:42:52;24,0183448791504;0;21,1810913085938;0;0,0960733890533447;0;;-1;5,53717374801636;0
24.11.2025 17:42:54;23,6782894134521;0;21,1810913085938;0;0,0947131812572479;0;;-1;5,51541137695313;0
24.11.2025 17:42:56;23,6179103851318;0;21,1813049316406;0;0,0944716483354568;0;;-1;5,51154661178589;0
24.11.2025 17:42:59;24,2374668121338;0;21,1820373535156;0;0,0969498828053474;0;;-1;5,55119800567627;0
24.11.2025 17:43:01;23,5278930664063;0;21,1820373535156;0;0,0941115990281105;0;;-1;5,50578594207764;0
24.11.2025 17:43:04;24,4058322906494;0;21,1820373535156;0;0,097623348236084;0;;-1;5,56197452545166;0
24.11.2025 17:43:06;24,0340900421143;0;21,1820373535156;0;0,0961363762617111;0;;-1;5,53818273544312;0
24.11.2025 17:43:09;23,6462554931641;0;21,1822204589844;0;0,0945850163698196;0;;-1;5,51336050033569;0
24.11.2025 17:43:11;23,5167865753174;0;21,1822204589844;0;0,094067171216011;0;;-1;5,5050745010376;0
24.11.2025 17:43:14;24,6094245910645;0;21,1824035644531;0;0,0984376966953278;0;;-1;5,5750036239624;0
24.11.2025 17:43:16;23,7410774230957;0;21,1828002929688;0;0,0949643328785896;0;;-1;5,52683687210083;0
24.11.2025 17:43:19;23,6645050048828;0;21,1831665039063;0;0,0946580544114113;0;;-1;5,51452922821045;0
24.11.2025 17:43:21;23,4799575805664;0;21,1831665039063;0;0,0939198359847069;0;;-1;5,50271797180176;0
24.11.2025 17:43:24;23,7559051513672;0;21,1833801269531;0;0,0950236544013023;0;;-1;5,52037858963013;0
24.11.2025 17:43:26;24,0875072479248;0;21,1839294433594;0;0,0963500365614891;0;;-1;5,54160070419312;0
24.11.2025 17:43:29;23,6005477905273;0;21,1842956542969;0;0,0944022089242935;0;;-1;5,51043558120728;0
24.11.2025 17:43:31;23,2023696899414;0;21,1841125488281;0;0,0928094834089279;0;;-1;5,48495054244995;0
24.11.2025 17:43:34;24,1860485076904;0;21,1842956542969;0;0,09674421697855;0;;-1;5,54790687561035;0
24.11.2025 17:43:36;24,2768630981445;0;21,1841125488281;0;0,0971074625849724;0;;-1;5,55371904373169;0
24.11.2025 17:43:39;23,7344284057617;0;21,1842956542969;0;0,094937726855278;0;;-1;5,51900434494019;0
24.11.2025 17:43:41;22,8841342926025;0;21,1842956542969;0;0,0915365442633629;0;;-1;5,46458435058594;0
24.11.2025 17:43:44;23,5771636962891;0;21,1841125488281;0;0,0943086817860603;0;;-1;5,50893926620483;0
