time,V_ai0,V_ai1,V_ai2
0,-7.10086743036178,-2.70975486090047,-7.68317192255464
0.0025,-7.05501730968289,-2.70975486090047,-7.67807880303239
0.005,-7.05501730968289,-2.73523332492941,-7.67807880303239
0.0075,-7.07030068324252,-2.72504193931784,-7.67807880303239
0.01,-7.07030068324252,-2.73523332492941,-7.71373063968814
0.0125,-7.07030068324252,-2.77599886737572,-7.69845128112139
0.015,-7.07539514109573,-2.76580748176415,-7.69335816159914
0.0175,-6.97350598403152,-2.77599886737572,-7.72900999825488
0.02,-6.99388381544436,-2.73523332492941,-7.69845128112139
0.0225,-6.95822261047189,-2.76580748176415,-7.67298568351014
0.025,-6.95312815261868,-2.70975486090047,-7.67807880303239
0.0275,-6.94803369476547,-2.95434811557832,-7.70863752016589
0.03,-6.94293923691225,-2.75561609615257,-7.67298568351014
0.0325,-6.94293923691225,-2.73523332492941,-7.66789256398789
0.035,-6.94293923691225,-2.71994624651205,-7.66789256398789
0.0375,-6.93784477905904,-2.71485055370626,-7.67298568351014
0.04,-6.93784477905904,-2.73013763212363,-7.67807880303239
0.0425,-6.93275032120583,-2.95944380838411,-7.67807880303239
0.045,-6.94293923691225,-2.70465916809469,-7.67298568351014
0.0475,-6.94293923691225,-2.88810410910307,-7.67298568351014
0.05,-6.95312815261868,-2.91358257313201,-7.67298568351014
0.0525,-6.93275032120583,-2.94925242277253,-7.69335816159914
0.055,-6.93275032120583,-2.89829549471464,-7.69335816159914
0.0575,-6.93275032120583,-2.96453950118989,-7.73919623729938
0.06,-6.97350598403152,-2.94925242277253,-7.66279944446564
0.0625,-6.95312815261868,-2.91358257313201,-7.69335816159914
0.065,-6.9633170683251,-2.92886965154938,-7.64242696637664
0.0675,-6.96841152617831,-2.92886965154938,-7.71373063968814
0.07,-6.97860044188473,-2.93906103716095,-7.68317192255464
0.0725,-6.98369489973794,-2.94925242277253,-7.70354440064364
0.075,-6.98878935759115,-3.01549642924778,-7.71373063968814
0.0775,-6.99388381544436,-2.95944380838411,-7.71882375921039
0.08,-6.99897827329757,-2.93906103716095,-7.72391687873263
0.0825,-7.00916718900399,-2.92377395874359,-7.73410311777713
0.085,-7.0142616468572,-2.8728170306857,-7.73410311777713
0.0875,-7.02445056256362,-2.93906103716095,-7.75956871538838
0.09,-7.02954502041684,-2.86772133787991,-7.79012743252188
0.0925,-7.03973393612326,-2.83714718104518,-7.72900999825488
0.095,-7.04482839397647,-2.8728170306857,-7.76466183491063
0.0975,-7.04992285182968,-2.85243425946255,-7.74938247634388
0.1,-7.05501730968289,-2.85243425946255,-7.77994119347738
0.1025,-7.07030068324252,-2.86772133787991,-7.71373063968814
0.105,-7.09577297250857,-2.89829549471464,-7.73919623729938
0.1075,-7.09067851465536,-2.99001796521884,-7.74428935682163
0.11,-7.10086743036178,-2.81166871701624,-7.72391687873263
0.1125,-7.13143417748105,-2.82186010262782,-7.72391687873263
0.115,-7.15181200889389,-2.79638163859888,-7.72391687873263
0.1175,-7.14671755104068,-2.73013763212363,-7.71373063968814
0.12,-7.17218984030673,-2.75052040334678,-7.77484807395513
0.1225,-7.16200092460031,-2.75052040334678,-7.74428935682163
0.125,-7.18237875601315,-2.72504193931784,-7.74938247634388
0.1275,-7.18237875601315,-2.71994624651205,-7.74938247634388
0.13,-7.19766212957278,-2.68427639687153,-7.71882375921039
0.1325,-7.20275658742599,-2.70975486090047,-7.72900999825488
0.135,-7.21803996098563,-2.67918070406574,-7.74428935682163
0.1375,-7.23332333454526,-2.63841516161944,-7.74428935682163
0.14,-7.24860670810489,-2.62822377600786,-7.74938247634388
0.1425,-7.25879562381131,-2.68937208967732,-7.73919623729938
0.145,-7.26389008166452,-2.6078410047847,-7.74938247634388
0.1475,-7.26898453951773,-2.59255392636734,-7.78503431299963
0.15,-7.26898453951773,-2.58745823356155,-7.77484807395513
0.1525,-7.28426791307736,-2.64860654723101,-7.77484807395513
0.155,-7.29445682878379,-2.57217115514419,-7.75447559586613
0.1575,-7.29445682878379,-2.57217115514419,-7.78503431299963
0.16,-7.33011803375626,-2.52630991989209,-7.79012743252188
0.1625,-7.33011803375626,-2.53140561269788,-7.80031367156638
0.165,-7.33011803375626,-2.54159699830946,-7.77994119347738
0.1675,-7.33521249160947,-2.68937208967732,-7.77994119347738
0.17,-7.38106261228837,-2.65879793284259,-7.73919623729938
0.1725,-7.37087369658194,-2.6537022400368,-7.76975495443288
0.175,-7.37087369658194,-2.61293669759049,-7.77994119347738
0.1775,-7.37596815443515,-2.66389362564838,-7.82068614965538
0.18,-7.37087369658194,-2.6078410047847,-7.87671046440012
0.1825,-7.37596815443515,-2.59255392636734,-7.74428935682163
0.185,-7.37596815443515,-2.57217115514419,-7.74428935682163
0.1875,-7.37596815443515,-2.59255392636734,-7.75447559586613
0.19,-7.37596815443515,-2.57217115514419,-7.76466183491063
0.1925,-7.37596815443515,-2.58236254075576,-7.86143110583337
0.195,-7.37087369658194,-2.54669269111524,-7.77994119347738
0.1975,-7.38106261228837,-2.54159699830946,-7.78503431299963
0.2,-7.38106261228837,-2.57217115514419,-7.77484807395513
0.2025,-7.37087369658194,-2.52630991989209,-7.78503431299963
0.205,-7.36068478087552,-2.5212142270863,-7.74428935682163
0.2075,-7.36577923872873,-2.56197976953261,-7.77484807395513
0.21,-7.39125152799479,-2.5212142270863,-7.77994119347738
0.2125,-7.39125152799479,-2.54159699830946,-7.79012743252188
0.215,-7.37087369658194,-2.74542471054099,-7.77484807395513
0.2175,-7.37087369658194,-2.53140561269788,-7.76975495443288
0.22,-7.34030694946268,-2.73013763212363,-7.76975495443288
0.2225,-7.3504958651691,-2.5670754623384,-7.80540679108863
0.225,-7.3504958651691,-2.53140561269788,-7.83087238869988
0.2275,-7.32502357590305,-2.53140561269788,-7.78503431299963
0.23,-7.31992911804984,-2.55178838392103,-7.78503431299963
0.2325,-7.31483466019663,-2.54669269111524,-7.76975495443288
0.235,-7.30464574449021,-2.5212142270863,-7.84105862774437
0.2375,-7.299551286637,-2.58745823356155,-7.77994119347738
0.24,-7.29445682878379,-2.5212142270863,-7.77994119347738
0.2425,-7.28936237093058,-2.5212142270863,-7.78503431299963
0.245,-7.28426791307736,-2.49064007025157,-7.79522055204413
0.2475,-7.28426791307736,-2.5212142270863,-7.80031367156638
0.25,-7.27917345522415,-2.54669269111524,-7.77994119347738
0.2525,-7.26898453951773,-2.54669269111524,-7.81049991061088
0.255,-7.26389008166452,-2.52630991989209,-7.77994119347738
0.2575,-7.25879562381131,-2.58745823356155,-7.78503431299963
0.26,-7.2537011659581,-2.54669269111524,-7.80031367156638
0.2625,-7.24860670810489,-2.54159699830946,-7.80540679108863
0.265,-7.24860670810489,-2.53140561269788,-7.80540679108863
0.2675,-7.24351225025168,-2.57217115514419,-7.81049991061088
0.27,-7.23332333454526,-2.55178838392103,-7.78503431299963
0.2725,-7.22313441883884,-2.55178838392103,-7.83596550822213
0.275,-7.21294550313242,-2.56197976953261,-7.81049991061088
0.2775,-7.21294550313242,-2.56197976953261,-7.80540679108863
0.28,-7.21294550313242,-2.51611853428051,-7.81049991061088
0.2825,-7.20785104527921,-2.50592714866894,-7.81559303013313
0.285,-7.20785104527921,-2.58236254075576,-7.81049991061088
0.2875,-7.19766212957278,-2.57726684794997,-7.81559303013313
0.29,-7.16709538245352,-2.5670754623384,-7.81049991061088
0.2925,-7.18747321386636,-2.5212142270863,-7.81049991061088
0.295,-7.17728429815994,-2.56197976953261,-7.80031367156638
0.2975,-7.17728429815994,-2.51102284147473,-7.80540679108863
0.3,-7.16709538245352,-2.5212142270863,-7.81049991061088
0.3025,-7.15181200889389,-2.50592714866894,-7.81049991061088
0.305,-7.15181200889389,-2.50592714866894,-7.80031367156638
0.3075,-7.15181200889389,-2.51102284147473,-7.82577926917763
0.31,-7.15181200889389,-2.58745823356155,-7.82068614965538
0.3125,-7.13652863533426,-2.49064007025157,-7.80031367156638
0.315,-7.13652863533426,-2.48554437744578,-7.80031367156638
0.3175,-7.13652863533426,-2.49064007025157,-7.79522055204413
0.32,-7.10596188821499,-2.49064007025157,-7.79522055204413
0.3225,-7.12633971962784,-2.50592714866894,-7.78503431299963
0.325,-7.11615080392141,-2.48554437744578,-7.75956871538838
0.3275,-7.1110563460682,-2.49064007025157,-7.75956871538838
0.33,-7.1110563460682,-2.50083145586315,-7.79522055204413
0.3325,-7.13143417748105,-2.52630991989209,-7.78503431299963
0.335,-7.09577297250857,-2.51102284147473,-7.78503431299963
0.3375,-7.09067851465536,-2.52630991989209,-7.75956871538838
0.34,-7.08558405680215,-2.53140561269788,-7.76466183491063
0.3425,-7.08048959894894,-2.53650130550367,-7.79012743252188
0.345,-7.07539514109573,-2.55178838392103,-7.80031367156638
0.3475,-7.09577297250857,-2.5670754623384,-7.79522055204413
0.35,-7.07030068324252,-2.5670754623384,-7.77484807395513
0.3525,-7.07539514109573,-2.57726684794997,-7.77994119347738
0.355,-7.06520622538931,-2.6537022400368,-7.78503431299963
0.3575,-7.07539514109573,-2.61293669759049,-7.79012743252188
0.36,-7.05501730968289,-2.62312808320207,-7.75956871538838
0.3625,-7.07539514109573,-2.62312808320207,-7.78503431299963
0.365,-7.03973393612326,-2.63841516161944,-7.78503431299963
0.3675,-7.06520622538931,-2.65879793284259,-7.75956871538838
0.37,-7.07030068324252,-2.68937208967732,-7.75956871538838
0.3725,-7.06520622538931,-2.69446778248311,-7.75447559586613
0.375,-0.0959878821972175,-2.71994624651205,-7.74938247634388
0.3775,-7.01935610471041,-2.73013763212363,-7.74938247634388
0.38,-6.99388381544436,-2.73013763212363,-7.74938247634388
0.3825,-6.99388381544436,-2.76580748176415,-7.75447559586613
0.385,-7.00916718900399,-2.7403290177352,-7.75447559586613
0.3875,-7.00916718900399,-2.75561609615257,-7.75447559586613
0.39,-6.98878935759115,-2.75561609615257,-7.74428935682163
0.3925,-6.98369489973794,-3.06645335730566,-7.74428935682163
0.395,-6.98369489973794,-3.01040073644199,-7.74428935682163
0.3975,-6.98369489973794,-2.97982657960726,-7.78503431299963
0.4,-6.98369489973794,-2.80657302421045,-7.78503431299963
0.4025,-6.98878935759115,-2.95434811557832,-7.78503431299963
0.405,-7.00916718900399,-2.89829549471464,-7.75447559586613
0.4075,-6.99388381544436,-2.94415672996674,-7.75956871538838
0.41,-7.01935610471041,-3.02568781485935,-7.76466183491063
0.4125,-7.01935610471041,-3.0053050436362,-7.81559303013313
0.415,-7.0142616468572,-2.93906103716095,-7.78503431299963
0.4175,-7.00407273115078,-2.93906103716095,-7.77994119347738
0.42,-7.00407273115078,-2.95434811557832,-7.76466183491063
0.4225,-7.00916718900399,-2.97982657960726,-7.80031367156638
0.425,-7.03973393612326,-2.99001796521884,-7.83087238869988
0.4275,-7.02445056256362,-3.00020935083041,-7.77994119347738
0.43,-7.01935610471041,-2.97473088680147,-7.76975495443288
0.4325,-7.02445056256362,-2.97982657960726,-7.73410311777713
0.435,-7.03463947827005,-2.97982657960726,-7.73919623729938
0.4375,-7.03973393612326,-2.97473088680147,-7.79522055204413
0.44,-7.03973393612326,-2.96963519399568,-7.75447559586613
0.4425,-7.04992285182968,-2.96963519399568,-7.74428935682163
0.445,-7.05501730968289,-2.94925242277253,-7.71373063968814
0.4475,-7.05501730968289,-2.96963519399568,-7.73919623729938
0.45,-7.05501730968289,-2.92377395874359,-7.74428935682163
0.4525,-7.0601117675361,-2.89319980190886,-7.73919623729938
0.455,-7.08558405680215,-2.89829549471464,-7.72900999825488
0.4575,-7.09067851465536,-2.84733856665676,-7.73410311777713
0.46,-7.09577297250857,-2.8320514882394,-7.73410311777713
0.4625,-7.10086743036178,-2.82186010262782,-7.71373063968814
0.465,-7.09577297250857,-2.88810410910307,-7.71373063968814
0.4675,-7.06520622538931,-2.91358257313201,-7.70354440064364
0.47,-7.09577297250857,-2.7403290177352,-7.69845128112139
0.4725,-7.08048959894894,-2.75052040334678,-7.70354440064364
0.475,-7.08048959894894,-2.70975486090047,-7.70354440064364
0.4775,-7.07539514109573,-2.68427639687153,-7.71373063968814
0.48,-7.08048959894894,-2.70465916809469,-7.71373063968814
0.4825,-7.07539514109573,-2.69446778248311,-7.71882375921039
0.485,-0.0959878821972175,-2.68937208967732,-7.69335816159914
0.4875,-0.0959878821972175,-2.63841516161944,-7.72391687873263
0.49,-0.0908934243440065,-2.70465916809469,-7.75956871538838
0.4925,-0.0959878821972175,-2.60274531197892,-7.71882375921039
0.495,-0.0908934243440065,-2.61293669759049,-7.71882375921039
