time,V_ai0,V_ai1,V_ai2
0,-2.14905439704109,-7.9328399868336,-2.44744505368209
0.0025,-2.15924331274751,-7.92774429402781,-2.48309689033784
0.005,-2.13377102348145,-7.94812706525096,-2.42197945607084
0.0075,-2.15924331274751,-7.94812706525096,-2.42197945607084
0.01,-2.15924331274751,-7.93793567963939,-2.44744505368209
0.0125,-2.19490451771998,-7.91755290841623,-2.50346936842683
0.015,-2.23566018054567,-7.91755290841623,-2.40160697798184
0.0175,-2.23056572269246,-7.94303137244518,-2.39651385845959
0.02,-2.21528234913282,-7.94812706525096,-2.42197945607084
0.0225,-2.32226596405025,-7.91755290841623,-2.41688633654859
0.025,-2.26113246981172,-7.95322275805675,-2.43216569511534
0.0275,-2.26113246981172,-7.92774429402781,-2.47800377081559
0.03,-2.26113246981172,-7.94812706525096,-2.48309689033784
0.0325,-0.106176797903638,-7.92774429402781,-2.48819000986009
0.035,-0.0959878821972175,-7.95322275805675,-2.42197945607084
0.0375,-0.0908934243440065,-7.96341414366833,-2.46272441224884
0.04,-0.0959878821972175,-7.95831845086254,-2.44744505368209
0.0425,-0.0959878821972175,-7.95831845086254,-2.40670009750409
0.045,-2.08792090280256,-7.93793567963939,-2.41688633654859
0.0475,-2.09301536065577,-7.96341414366833,-2.43216569511534
0.05,-2.09810981850898,-7.98379691489148,-2.38632761941509
0.0525,-2.1082987342154,-7.94303137244518,-2.3761413803706
0.055,-2.11339319206861,-7.97870122208569,-2.37104826084835
0.0575,-2.12358210777503,-8.03475384294937,-0.354172930037519
0.06,-2.12358210777503,-7.95831845086254,-0.0995169539250416
0.0625,-2.12358210777503,-8.02965815014358,-2.3761413803706
0.065,-2.16943222845393,-7.96850983647412,-2.3659551413261
0.0675,-2.1541488548943,-7.96850983647412,-2.45763129272659
0.07,-2.16943222845393,-7.96850983647412,-2.49328312938233
0.0725,-2.18471560201356,-7.97360552927991,-2.53402808556033
0.075,-2.17452668630714,-7.98379691489148,-2.44744505368209
0.0775,-2.22037680698604,-8.00417968611464,-2.43216569511534
0.08,-2.23566018054567,-7.97360552927991,-2.42707257559309
0.0825,-2.23056572269246,-7.97360552927991,-2.43216569511534
0.085,-2.23056572269246,-7.98379691489148,-2.39651385845959
0.0875,-2.26113246981172,-7.97870122208569,-2.41688633654859
0.09,-2.27641584337135,-7.95322275805675,-2.40160697798184
0.0925,-2.27132138551814,-7.97870122208569,-2.41179321702634
0.095,-2.29169921693098,-7.96850983647412,-2.40160697798184
0.0975,-2.29679367478419,-7.97360552927991,-2.43216569511534
0.1,-2.31207704834383,-7.96341414366833,-2.40670009750409
0.1025,-2.3018881326374,-8.00927537892042,-2.44235193415984
0.105,-2.32226596405025,-8.019466764532,-2.44235193415984
0.1075,-2.33754933760988,-7.97360552927991,-2.43216569511534
0.11,-2.37830500043556,-7.96850983647412,-2.44744505368209
0.1125,-2.3935883739952,-7.98889260769727,-2.42197945607084
0.115,-2.40377728970162,-7.98379691489148,-2.42707257559309
0.1175,-2.4445329525273,-8.00927537892042,-2.43216569511534
0.12,-2.43943849467409,-7.94812706525096,-2.42197945607084
0.1225,-2.44962741038051,-7.98379691489148,-2.43725881463759
0.125,-2.48528861535299,-7.96850983647412,-2.43216569511534
0.1275,-2.50057198891262,-7.95831845086254,-2.45763129272659
0.13,-2.52094982032546,-7.93793567963939,-2.3761413803706
0.1325,-2.52604427817867,-7.96341414366833,-2.42197945607084
0.135,-2.56170548315114,-7.95322275805675,-2.47291065129334
0.1375,-2.56170548315114,-7.95831845086254,-2.41179321702634
0.14,-2.55151656744472,-7.95831845086254,-2.41688633654859
0.1425,-2.5871777724172,-7.95831845086254,-2.38632761941509
0.145,-2.57698885671078,-7.95322275805675,-2.38632761941509
0.1475,-2.62793343524288,-7.94812706525096,-2.43216569511534
